*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		82249		1847969
2		103318		2597934
3		93594		1383647
4		143024		2433841
5		116688		2388057
6		84680		1470758
7		126007		855714
8		92784		827757
9		88732		1225632
10		84680		831809
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		263359		130770649
2		256066		138999601
3		322514		127385880
4		275108		130377232
5		256065		129317313
6		270652		153131033
7		301850		153644786
8		131274		130345628
9		170576		177025787
10		110205		136053223
