*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		68878		446495
2		93189		335074
3		64422		340746
4		79008		309548
5		63206		314815
6		59154		226894
7		60775		224058
8		48215		139377
9		62801		216360
10		83870		234592
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		159636		5774447
2		147481		5920308
3		153559		5682880
4		242696		7021553
5		160446		5423167
6		194480		5697871
7		263764		5690983
8		179894		5588880
9		244721		9387326
10		80224		5584424
