*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		74146		2369420
2		53887		1471163
3		51861		1357311
4		53482		2448022
5		46189		1054246
6		53077		1062754
7		36060		981315
8		46189		956601
9		64017		1039255
10		55103		968351
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		104939		135942612
2		115473		140397834
3		165713		152483575
4		107774		136285384
5		104533		142078874
6		103318		134827996
7		104939		141246660
8		103318		135908983
9		74146		140839467
10		47000		137937657
